Name account,Sentiment,Vader,Textblob,Retweet
nytimes,0,-0.6908,-0.0417,32
nytimes,0,-0.2263,-0.05,458
nytimes,0,0.2732,0,46
nytimes,0,-0.6124,0.0625,17
nytimes,0,0.3182,0.0333,23
nytimes,0,-0.1027,0.4,67
nytimes,-1,0.5719,0.4,20
nytimes,0,-0.5106,0,10
nytimes,1,-0.5994,0.5,138
nytimes,0,0.7436,0.0783,16
nytimes,0,-0.7184,0,115
nytimes,0,0,-0.1,117
nytimes,0,0.4019,0.1557,50
nytimes,0,-0.6124,0.0773,9
nytimes,0,-0.296,0,18
nytimes,0,0.7906,-0.0333,13
nytimes,0,-0.6195,-0.1333,27
nytimes,-2,-0.0498,-0.0333,12
nytimes,-2,-0.5574,0.2009,49
nytimes,0,-0.8625,-0.1444,35
nytimes,0,-0.8709,0.2,26
nytimes,0,-0.6369,0.1667,95
nytimes,0,0.1027,-0.0527,22
nytimes,0,0.3612,0.1364,26
nytimes,0,-0.7236,0.0333,29
nytimes,-1,-0.6908,-0.0028,128
nytimes,0,0,0.3182,59
nytimes,0,0.7003,0.125,21
nytimes,0,0.8316,0.75,141
nytimes,0,0.5709,0.1667,121
nytimes,0,-0.25,0,33
nytimes,0,0.6369,0.275,109
nytimes,0,0,0.0278,43
nytimes,0,0,0,353
nytimes,0,0.296,0.6,18
nytimes,0,0.802,0.5333,271
nytimes,0,-0.2263,0.2,19
nytimes,0,0.743,0.3788,49
nytimes,0,0.5859,0.325,128
nytimes,0,0,0.1341,437
nytimes,0,0.8225,0.2625,45
nytimes,0,0,0.2125,369
nytimes,0,0,0,153
nytimes,0,-0.0516,0.2833,37
nytimes,-1,0.0258,0.18,93
nytimes,0,-0.5267,0.0955,16
nytimes,0,-0.6597,0.25,20
nytimes,0,0.2732,0,14
nytimes,0,0.6369,0.5,76
biden4pres,0,-0.3818,-0.175,0
biden4pres,0,-0.5267,0,6
biden4pres,0,0,0,62
biden4pres,0,-0.296,0,0
biden4pres,1,0.6908,0.7,239
biden4pres,0,0.6908,0.5,0
biden4pres,2,0.675,0.0519,101
biden4pres,0,0,0,35
biden4pres,0,0,0.2,129
biden4pres,0,-0.4019,0,34
biden4pres,-1,0.0762,0,37
biden4pres,0,0,0,10676
biden4pres,1,0.5574,0,0
biden4pres,-1,0.2649,0.1083,113
biden4pres,0,-0.4767,-0.0375,70
biden4pres,0,0.3612,0,0
biden4pres,0,0,0,0
biden4pres,0,0,0.3333,0
biden4pres,0,0.9001,-0.0125,136
biden4pres,0,0.4767,0,106
biden4pres,0,0,0,17
biden4pres,0,-0.3818,0,0
biden4pres,0,-0.5859,-0.9,63
biden4pres,0,0,0,1
biden4pres,0,0.3818,0.0939,2
biden4pres,2,0.8855,0.5,4
biden4pres,-1,0,0.2,1
biden4pres,-1,-0.2235,-0.0848,24
biden4pres,0,0.3182,0,1
biden4pres,-1,-0.4939,0.0333,0
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0.3612,0,0
biden4pres,0,0.3612,-0.3125,0
biden4pres,0,0.9313,0.4125,2
biden4pres,0,0,0,0
biden4pres,0,-0.7165,0.3,4
biden4pres,0,0,0,34
biden4pres,0,0,0,0
biden4pres,0,0.7579,0.475,0
biden4pres,1,0.2263,0,44
biden4pres,-1,0.3689,0.1,0
biden4pres,0,0,0,0
biden4pres,0,0.25,0,0
biden4pres,-1,0,-0.1875,0
biden4pres,-1,0.3818,0.8,0
biden4pres,0,0,0,1
biden4pres,0,0.4404,-0.3125,0
biden4pres,0,-0.4767,-1,0
biden4pres,0,0,0,0
biden4pres,0,0,0,1
biden4pres,0,-0.0516,-0.2188,0
biden4pres,0,0.1531,0,43
biden4pres,0,0,0,0
biden4pres,-1,0.864,0.1,20
biden4pres,0,0,0.0938,59
biden4pres,0,0.7184,0,211
biden4pres,0,0.34,0,0
biden4pres,-1,0.5647,0.7,25250
biden4pres,0,0.3089,0,0
biden4pres,0,0.7506,0.0667,73
biden4pres,-1,0.9155,0.3875,68
biden4pres,0,-0.6808,0,139
biden4pres,0,-0.3612,0.4,165
biden4pres,0,0.34,-0.2,0
biden4pres,0,0.6808,0.3,0
biden4pres,0,0.8126,0.3667,63
biden4pres,0,0,0,171
biden4pres,0,-0.3566,0,16538
biden4pres,0,0,0,0
biden4pres,0,0,0,2
biden4pres,0,0,-0.1556,55
biden4pres,0,0.3182,0.5,0
biden4pres,0,0.8689,0.35,132
biden4pres,0,0.5106,0.3,0
biden4pres,0,-0.4767,-0.5,0
biden4pres,0,0.0258,0,3
biden4pres,0,0,0,0
biden4pres,0,-0.3252,0,1
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0.3182,0,0
biden4pres,0,0.0258,0,177
biden4pres,0,0,0.3333,0
biden4pres,0,0,0,0
biden4pres,0,-0.2626,0.22,0
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,-0.1045,-0.1715,104
biden4pres,0,0,0,0
biden4pres,-1,0,0.5,0
biden4pres,-1,0.2023,-0.5,0
biden4pres,2,0.6124,-0.3125,131
biden4pres,0,0.2023,0.4167,0
biden4pres,0,0,0,0
biden4pres,0,0,-0.3,49
biden4pres,0,0,-0.1556,0
biden4pres,0,0.2732,0.5,0
biden4pres,0,0.683,0.1333,0
biden4pres,0,0.6757,0.1667,0
biden4pres,0,-0.0516,0.05,0
biden4pres,-1,0.1779,0.25,33
biden4pres,0,0.3182,0.35,0
biden4pres,0,0,0.08,0
biden4pres,0,0.6124,0.7,0
biden4pres,0,-0.3182,-1,2
biden4pres,0,0.4019,-0.025,1
biden4pres,0,0.34,-0.1556,38
biden4pres,0,0,0,0
biden4pres,0,0,0,1
biden4pres,0,0,0,199
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0.4939,0.6,90
biden4pres,0,0.4019,0.5,0
biden4pres,0,0,0,0
biden4pres,0,0.8316,0.4,1
biden4pres,-1,-0.2168,-0.0111,37
biden4pres,0,0,0,0
biden4pres,0,0.4019,0,1
biden4pres,0,0,0,8
biden4pres,0,0.3384,0.5,1
biden4pres,0,-0.34,0,1
biden4pres,0,0.4767,0,1
biden4pres,0,0,-0.3,1
biden4pres,0,-0.6808,0,396
biden4pres,-1,0,0.2,162
biden4pres,0,0,0,1
biden4pres,0,0.4215,0,0
biden4pres,-1,-0.6217,-1,35
